agent,agent_sim_tfidf_w,agent_sim_jaccard_w,agent_sim_fuzzy_w,agent_sim_tfidf,agent_sim_jaccard,agent_sim_fuzzy,agent_total_files,agent_total_prs
Devin,0.3060122465509152,0.18634886477688048,0.35274899718661945,0.3756354671549769,0.32128767068734804,0.48184805518116836,99701,2650
Copilot,0.3176624321171248,0.22656218001702136,0.332678375239819,0.3901933216108692,0.34194632427651933,0.463843032280413,44213,1242
Cursor,0.29730122165137224,0.17930638145855318,0.33626604673320926,0.4112061916910187,0.3541903246829695,0.5164003759518355,14256,684
OpenAI_Codex,0.3131730914392344,0.19067920905987212,0.35156011049948255,0.3683004857963734,0.2994895683314333,0.464624359545345,25772,1767
Claude_Code,0.18018318508228237,0.09969581889462496,0.21220415371263052,0.3221672241918485,0.2653580281445813,0.3872732811554456,6699,151
