agent,agent_sim_tfidf_w,agent_sim_jaccard_w,agent_sim_fuzzy_w,agent_sim_tfidf,agent_sim_jaccard,agent_sim_fuzzy,agent_total_files,agent_total_prs
Devin,0.4940545090429707,0.40242098494337575,0.5665278613468474,0.46039611199396796,0.3721374640039009,0.5423058370941353,51,9
Copilot,0.29878077222445404,0.2122509560889202,0.34427363859633214,0.36330620820496123,0.3022766514782609,0.4454100601151182,48173,1151
Cursor,0.22415335744844056,0.13904391562356425,0.26458794043940936,0.4611112610223859,0.36472120074288433,0.5672670197799676,248,10
OpenAI_Codex,0.1662836021746535,0.10880952072486852,0.18009796601370023,0.16790570170728003,0.13097135888623773,0.221460274738514,11992,812
Claude_Code,0.776727711257996,0.4404325230666971,0.9036628423933217,0.7393754237228596,0.46046140696635096,0.9497116071197339,7,1
