agent,agent_sim_tfidf_w,agent_sim_jaccard_w,agent_sim_fuzzy_w,agent_sim_tfidf,agent_sim_jaccard,agent_sim_fuzzy,agent_total_files,agent_total_prs
Devin,0.36033862570963876,0.19381253530523565,0.3673089471040386,0.398638434009846,0.3324494065811708,0.47842783382306475,28209,1069
Cursor,0.29166462838242063,0.18100403552468322,0.33467779730377656,0.438193392114603,0.3657158475459448,0.5614854689707096,8104,254
Copilot,0.32162151132908084,0.198930362509202,0.3336756582015523,0.31441426937327055,0.2571651817700674,0.38291058260361505,17692,558
OpenAI_Codex,0.3573511001448275,0.2356270853240999,0.4105703997067911,0.3883854079812179,0.31844227502196426,0.4893672616865829,32591,5209
Claude_Code,0.21389307683872508,0.11718933144555709,0.2613079792954879,0.3391544956127085,0.2798333085271182,0.4494863364445533,4435,100
